revision,layout_sha256,操作,必要,400站位可达,状态,目标区
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,wardB_use,True,True,该方形包络可达；门全开，操作区另查,"[1800, 1450, 2200, 600]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,wardA_use,True,True,该方形包络可达；门全开，操作区另查,"[4150, 6140, 1800, 900]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,toys_use,True,True,该方形包络可达；门全开，操作区另查,"[950, 4870, 1500, 500]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,wardC_use,True,True,该方形包络可达；门全开，操作区另查,"[7400, 5170, 1300, 600]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,island_use,True,True,该方形包络可达；门全开，操作区另查,"[11400, 4900, 900, 1500]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,coffee_use,True,True,该方形包络可达；门全开，操作区另查,"[11900, 1350, 1100, 600]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,shoe_use,True,True,该方形包络可达；门全开，操作区另查,"[13540, 1910, 900, 1400]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,storage_use,True,True,该方形包络可达；门全开，操作区另查,"[8910, 2550, 600, 650]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,sink_use,True,True,该方形包络可达；门全开，操作区另查,"[13300, 4590, 900, 900]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,dishwasher_use,True,True,该方形包络可达；门全开，操作区另查,"[13150, 5490, 1050, 600]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,prep_use,True,True,该方形包络可达；门全开，操作区另查,"[13300, 6090, 900, 650]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,hob_use,True,True,该方形包络可达；门全开，操作区另查,"[13627, 8870, 600, 900]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,tower_use,True,True,该方形包络可达；门全开，操作区另查,"[13150, 7640, 1050, 750]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,fridge_use,True,True,该方形包络可达；门全开，操作区另查,"[13050, 6740, 1050, 900]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,laundry_use,True,True,该方形包络可达；门全开，操作区另查,"[9650, 8970, 1050, 800]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,robot_use,True,True,该方形包络可达；门全开，操作区另查,"[13150, 1450, 550, 600]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,basinB_use,True,True,该方形包络可达；门全开，操作区另查,"[4407, 1920, 650, 900]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,basinA_use,True,True,该方形包络可达；门全开，操作区另查,"[6450, 2820, 900, 450]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,child_play,True,True,该方形包络可达；门全开，操作区另查,"[2600, 4900, 2200, 1300]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,child_pull,True,True,该方形包络可达；门全开，操作区另查,"[3000, 5930, 750, 950]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,dining_pull1,True,True,该方形包络可达；门全开，操作区另查,"[10180, 1180, 450, 450]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,dining_pull2,True,True,该方形包络可达；门全开，操作区另查,"[11120, 1180, 450, 450]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,dining_pull3,True,True,该方形包络可达；门全开，操作区另查,"[10180, 3680, 450, 450]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,dining_pull4,True,True,该方形包络可达；门全开，操作区另查,"[11120, 3680, 450, 450]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,dryA,True,True,该方形包络可达；门全开，操作区另查,"[6230, 1830, 950, 900]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,dryB,True,True,该方形包络可达；门全开，操作区另查,"[4400, 1830, 820, 900]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,drying,True,True,该方形包络可达；门全开，操作区另查,"[11000, 9010, 1500, 750]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,robot_service,True,True,该方形包络可达；门全开，操作区另查,"[13150, 1450, 550, 600]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,bedsideB_use,True,True,该方形包络可达；门全开，操作区另查,"[1000, 2800, 400, 900]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,wcA_use,True,True,该方形包络可达；门全开，操作区另查,"[6600, 2000, 750, 650]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,wcB_use,True,True,该方形包络可达；门全开，操作区另查,"[4480, 2140, 750, 650]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,bedA_west,False,False,目标区域无完整可站立包络（含墙/家具/当前开启件）,"[600, 5890, 500, 900]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,bedA_east,True,True,该方形包络可达；门全开，操作区另查,"[2400, 5890, 500, 900]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,bedB_west,True,True,该方形包络可达；门全开，操作区另查,"[1050, 2620, 500, 900]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,bedB_east,True,True,该方形包络可达；门全开，操作区另查,"[3450, 2620, 500, 900]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,bedC_west,True,True,该方形包络可达；门全开，操作区另查,"[6120, 6320, 500, 900]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,bedC_east,True,True,该方形包络可达；门全开，操作区另查,"[8240, 6320, 500, 900]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,dining1_seat,True,True,该方形包络可达；门全开，操作区另查,"[10180, 1180, 450, 450]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,dining2_seat,True,True,该方形包络可达；门全开，操作区另查,"[11120, 1180, 450, 450]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,dining3_seat,True,True,该方形包络可达；门全开，操作区另查,"[10180, 3680, 450, 450]"
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,dining4_seat,True,True,该方形包络可达；门全开，操作区另查,"[11120, 3680, 450, 450]"
